naive, kmp, n size
0.000000, 0.000000, 10000
0.001000, 0.000000, 20000
0.000000, 0.000000, 30000
0.000000, 0.000000, 40000
0.000000, 0.001000, 50000
0.000000, 0.000000, 60000
0.000000, 0.001000, 70000
0.000000, 0.000000, 80000
0.000000, 0.001000, 90000
0.000000, 0.000000, 100000
0.000000, 0.000000, 110000
0.000000, 0.000000, 120000
0.000000, 0.001000, 130000
0.000000, 0.000000, 140000
0.000000, 0.000000, 150000
0.000000, 0.000000, 160000
0.000000, 0.000000, 170000
0.000000, 0.000000, 180000
0.000000, 0.000000, 190000
0.000000, 0.000000, 200000
0.000000, 0.001000, 210000
0.001000, 0.000000, 220000
0.001000, 0.000000, 230000
0.001000, 0.001000, 240000
0.001000, 0.001000, 250000
0.001000, 0.002000, 260000
0.001000, 0.001000, 270000
0.001000, 0.001000, 280000
0.001000, 0.001000, 290000
0.000000, 0.002000, 300000
0.001000, 0.002000, 310000
0.001000, 0.002000, 320000
0.001000, 0.001000, 330000
0.001000, 0.001000, 340000
0.001000, 0.001000, 350000
0.001000, 0.001000, 360000
0.001000, 0.002000, 370000
0.000000, 0.000000, 380000
0.001000, 0.002000, 390000
0.001000, 0.002000, 400000
0.001000, 0.001000, 410000
0.000000, 0.000000, 420000
0.000000, 0.000000, 430000
0.000000, 0.000000, 440000
0.000000, 0.000000, 450000
0.000000, 0.000000, 460000
0.000000, 0.000000, 470000
0.000000, 0.000000, 480000
0.000000, 0.000000, 490000
0.000000, 0.017000, 500000
0.000000, 0.000000, 510000
0.000000, 0.000000, 520000
0.000000, 0.015000, 530000
0.016000, 0.000000, 540000
0.000000, 0.015000, 550000
0.000000, 0.000000, 560000
0.000000, 0.016000, 570000
0.000000, 0.000000, 580000
0.000000, 0.000000, 590000
0.000000, 0.000000, 600000
0.000000, 0.000000, 610000
0.000000, 0.016000, 620000
0.000000, 0.015000, 630000
0.000000, 0.016000, 640000
0.003000, 0.001000, 650000
0.000000, 0.016000, 660000
0.000000, 0.000000, 670000
0.000000, 0.000000, 680000
0.000000, 0.000000, 690000
0.000000, 0.000000, 700000
0.000000, 0.015000, 710000
0.000000, 0.000000, 720000
0.000000, 0.000000, 730000
0.002000, 0.004000, 740000
0.003000, 0.004000, 750000
0.002000, 0.003000, 760000
0.002000, 0.003000, 770000
0.003000, 0.004000, 780000
0.003000, 0.003000, 790000
0.002000, 0.003000, 800000
0.002000, 0.003000, 810000
0.001000, 0.000000, 820000
0.003000, 0.004000, 830000
0.000000, 0.000000, 840000
0.004000, 0.004000, 850000
0.003000, 0.004000, 860000
0.003000, 0.003000, 870000
0.000000, 0.019000, 880000
0.000000, 0.016000, 890000
0.004000, 0.005000, 900000
0.003000, 0.005000, 910000
0.002000, 0.003000, 920000
0.000000, 0.016000, 930000
0.003000, 0.004000, 940000
0.000000, 0.000000, 950000
0.016000, 0.000000, 960000
0.000000, 0.000000, 970000
0.000000, 0.000000, 980000
0.004000, 0.004000, 990000
0.002000, 0.004000, 1000000
